"first_date_of_month","all_monthly_index","all_quarterly_index","all_yearly_index","flat_monthly_index","flat_quarterly_index","flat_yearly_index","villa_monthly_index","villa_quarterly_index","villa_yearly_index","all_monthly_price_index","all_quarterly_price_index","all_yearly_price_index","flat_monthly_price_index","flat_quarterly_price_index","flat_yearly_price_index","villa_monthly_price_index","villa_quarterly_price_index","villa_yearly_price_index","load_timestamp"
"2020-10-01","1.092",,,"1.143",,,"0.991",,,"1033936.000",,,"976755.000",,,"1626295.000",,,"2025-11-19 11:56:34.000"
"2018-08-01","1.243",,,"1.283",,,"1.277",,,"1149847.000",,,"1102805.000",,,"2145540.000",,,"2025-11-19 11:56:34.000"
"2020-05-01","1.121",,,"1.189",,,"1.060",,,"1078323.000",,,"1031854.000",,,"1651574.000",,,"2025-11-19 11:56:34.000"
"2015-12-01","1.257","1.293","1.306","1.288","1.326","1.332","1.256","1.215","1.302","1163483.000","1192119.000","1232593.000","1118779.000","1143881.000","1187884.000","1985196.000","2006627.000","2063147.000","2025-11-19 11:56:34.000"
"2012-09-01","0.988","0.994",,"0.988","0.994",,"1.064","1.040",,"941332.000","954597.000",,"908513.000","921802.000",,"1789845.000","1753723.000",,"2025-11-19 11:56:34.000"
"2019-09-01","1.124","1.181",,"1.173","1.230",,"1.077","1.040",,"1063289.000","1084263.000",,"1015471.000","1035335.000",,"1699176.000","1737211.000",,"2025-11-19 11:56:34.000"
"2021-11-01","1.156",,,"1.182",,,"1.167",,,"1115937.000",,,"1000253.000",,,"1990496.000",,,"2025-11-19 11:56:34.000"
"2015-07-01","1.286",,,"1.333",,,"1.350",,,"1212510.000",,,"1165884.000",,,"2085932.000",,,"2025-11-19 11:56:34.000"
"2022-12-01","1.396","1.424","1.381","1.495","1.500","1.398","1.340","1.296","1.305","1339113.000","1348521.000","1321155.000","1276390.000","1274625.000","1218132.000","2204459.000","2176097.000","2135492.000","2025-11-19 11:56:34.000"
"2020-04-01","1.115",,,"1.182",,,"1.050",,,"1078398.000",,,"1031753.000",,,"1627405.000",,,"2025-11-19 11:56:34.000"
"2024-01-01","1.592",,,"1.730",,,"1.652",,,"1471712.000",,,"1437890.000",,,"2771463.000",,,"2025-11-19 11:56:34.000"
"2020-06-01","1.113","1.153",,"1.179","1.213",,"1.040","0.991",,"1066791.000","1072439.000",,"1018974.000","1026421.000",,"1628315.000","1636094.000",,"2025-11-19 11:56:34.000"
"2015-09-01","1.279","1.303",,"1.319","1.340",,"1.295","1.217",,"1199589.000","1203902.000",,"1156286.000","1158113.000",,"2010952.000","2009674.000",,"2025-11-19 11:56:34.000"
"2014-08-01","1.237",,,"1.278",,,"1.313",,,"1150759.000",,,"1117669.000",,,"2140023.000",,,"2025-11-19 11:56:34.000"
"2013-04-01","1.045",,,"1.050",,,"1.093",,,"996697.000",,,"968212.000",,,"1866180.000",,,"2025-11-19 11:56:34.000"
"2013-03-01","1.035","1.024",,"1.038","1.027",,"1.097","1.077",,"989328.000","978555.000",,"959961.000","947176.000",,"1867868.000","1843504.000",,"2025-11-19 11:56:34.000"
"2018-04-01","1.258",,,"1.298",,,"1.312",,,"1159790.000",,,"1114761.000",,,"2177462.000",,,"2025-11-19 11:56:34.000"
"2017-10-01","1.272",,,"1.322",,,"1.357",,,"1210465.000",,,"1159333.000",,,"2167406.000",,,"2025-11-19 11:56:34.000"
"2023-07-01","1.486",,,"1.612",,,"1.457",,,"1392127.000",,,"1357371.000",,,"2434965.000",,,"2025-11-19 11:56:34.000"
"2021-10-01","1.132",,,"1.160",,,"1.130",,,"1086969.000",,,"974621.000",,,"1962448.000",,,"2025-11-19 11:56:34.000"
"2015-01-01","1.294",,,"1.342",,,"1.393",,,"1210156.000",,,"1170097.000",,,"2204273.000",,,"2025-11-19 11:56:34.000"
"2020-07-01","1.108",,,"1.171",,,"1.023",,,"1058115.000",,,"1010882.000",,,"1619298.000",,,"2025-11-19 11:56:34.000"
"2012-04-01","0.987",,,"0.987",,,"1.031",,,"943051.000",,,"913119.000",,,"1704810.000",,,"2025-11-19 11:56:34.000"
"2017-06-01","1.288","1.324",,"1.330","1.354",,"1.409","1.319",,"1235272.000","1237158.000",,"1176709.000","1176014.000",,"2246914.000","2228955.000",,"2025-11-19 11:56:34.000"
"2013-10-01","1.100",,,"1.113",,,"1.195",,,"1030562.000",,,"1003811.000",,,"2056206.000",,,"2025-11-19 11:56:34.000"
"2018-01-01","1.267",,,"1.312",,,"1.327",,,"1185526.000",,,"1136260.000",,,"2133452.000",,,"2025-11-19 11:56:34.000"
"2013-08-01","1.088",,,"1.097",,,"1.141",,,"1019358.000",,,"993207.000",,,"1978937.000",,,"2025-11-19 11:56:34.000"
"2023-06-01","1.466","1.513",,"1.591","1.620",,"1.413","1.363",,"1379411.000","1401000.000",,"1344304.000","1355631.000",,"2376212.000","2335965.000",,"2025-11-19 11:56:34.000"
"2024-02-01","1.611",,,"1.760",,,"1.658",,,"1484672.000",,,"1457746.000",,,"2785439.000",,,"2025-11-19 11:56:34.000"
"2013-02-01","1.027",,,"1.028",,,"1.086",,,"982581.000",,,"953270.000",,,"1842868.000",,,"2025-11-19 11:56:34.000"
"2014-01-01","1.127",,,"1.162",,,"1.217",,,"1068374.000",,,"1038227.000",,,"2035333.000",,,"2025-11-19 11:56:34.000"
"2016-12-01","1.266","1.292","1.315","1.291","1.313","1.335","1.413","1.336","1.352","1181566.000","1190611.000","1230455.000","1125658.000","1131400.000","1179222.000","2272211.000","2256570.000","2181495.000","2025-11-19 11:56:34.000"
"2022-06-01","1.323","1.328",,"1.393","1.352",,"1.347","1.264",,"1288925.000","1266196.000",,"1200353.000","1153038.000",,"2157668.000","2112826.000",,"2025-11-19 11:56:34.000"
"2016-03-01","1.234","1.277",,"1.263","1.302",,"1.268","1.205",,"1137749.000","1166133.000",,"1088960.000","1117784.000",,"2018274.000","2022570.000",,"2025-11-19 11:56:34.000"
"2022-05-01","1.296",,,"1.368",,,"1.338",,,"1261379.000",,,"1175363.000",,,"2150469.000",,,"2025-11-19 11:56:34.000"
"2019-11-01","1.122",,,"1.179",,,"1.057",,,"1074936.000",,,"1026188.000",,,"1647221.000",,,"2025-11-19 11:56:34.000"
"2014-11-01","1.272",,,"1.323",,,"1.362",,,"1198158.000",,,"1156357.000",,,"2164457.000",,,"2025-11-19 11:56:34.000"
"2021-03-01","1.085","1.095",,"1.129","1.133",,"0.982","1.031",,"1016541.000","1009891.000",,"944223.000","945079.000",,"1745337.000","1789909.000",,"2025-11-19 11:56:34.000"
"2017-12-01","1.268","1.308","1.338","1.316","1.348","1.352","1.342","1.291","1.419","1198780.000","1205301.000","1245231.000","1148157.000","1150139.000","1187863.000","2135691.000","2179364.000","2279525.000","2025-11-19 11:56:34.000"
"2021-04-01","1.072",,,"1.097",,,"0.992",,,"1002667.000",,,"912404.000",,,"1768908.000",,,"2025-11-19 11:56:34.000"
"2023-01-01","1.405",,,"1.514",,,"1.332",,,"1343097.000",,,"1289772.000",,,"2209366.000",,,"2025-11-19 11:56:34.000"
"2017-11-01","1.275",,,"1.323",,,"1.352",,,"1206270.000",,,"1156549.000",,,"2154002.000",,,"2025-11-19 11:56:34.000"
"2020-09-01","1.095","1.136",,"1.153","1.197",,"0.998","0.983",,"1040950.000","1053954.000",,"988851.000","1006504.000",,"1610701.000","1632247.000",,"2025-11-19 11:56:34.000"
"2018-02-01","1.261",,,"1.303",,,"1.316",,,"1167782.000",,,"1120312.000",,,"2142315.000",,,"2025-11-19 11:56:34.000"
"2014-03-01","1.157","1.142",,"1.194","1.165",,"1.232","1.173",,"1095324.000","1081437.000",,"1063927.000","1046719.000",,"2050119.000","2023159.000",,"2025-11-19 11:56:34.000"
